name	type	units	sampling_frequency
Fp1-Fp2	EEG	uV	2000
Fp1-F7	EEG	uV	2000
F7-T3	EEG	uV	2000
T3-T5	EEG	uV	2000
T5-O1	EEG	uV	2000
Fp2-F8	EEG	uV	2000
F8-T4	EEG	uV	2000
T4-T6	EEG	uV	2000
T6-O2	EEG	uV	2000
Fp1-F3	EEG	uV	2000
F3-C3	EEG	uV	2000
C3-P3	EEG	uV	2000
P3-O1	EEG	uV	2000
Fp2-F4	EEG	uV	2000
F4-C4	EEG	uV	2000
C4-P4	EEG	uV	2000
P4-O2	EEG	uV	2000
Fz-Cz	EEG	uV	2000
Cz-Pz	EEG	uV	2000
Fp1-Fz	EEG	uV	2000
Fp2-Fz	EEG	uV	2000
F7-F3	EEG	uV	2000
F3-Fz	EEG	uV	2000
F8-F4	EEG	uV	2000
F4-Fz	EEG	uV	2000
T3-C3	EEG	uV	2000
C3-Cz	EEG	uV	2000
T4-C4	EEG	uV	2000
C4-Cz	EEG	uV	2000
T5-P3	EEG	uV	2000
P3-Pz	EEG	uV	2000
T6-P4	EEG	uV	2000
P4-Pz	EEG	uV	2000
Pz-O1	EEG	uV	2000
Pz-O2	EEG	uV	2000
O1-O2	EEG	uV	2000
F7-C3	EEG	uV	2000
C3-Fz	EEG	uV	2000
F8-C4	EEG	uV	2000
C4-Fz	EEG	uV	2000
T5-C3	EEG	uV	2000
C3-Pz	EEG	uV	2000
T6-C4	EEG	uV	2000
C4-Pz	EEG	uV	2000
T3-P3	EEG	uV	2000
P3-Cz	EEG	uV	2000
T4-P4	EEG	uV	2000
P4-Cz	EEG	uV	2000
T3-F3	EEG	uV	2000
F3-Cz	EEG	uV	2000
T4-F4	EEG	uV	2000
F4-Cz	EEG	uV	2000
